Model,Threshold,Accuracy,Balanced_Acc,Precision,Recall,F1
LinearSVM,0.01,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
LinearSVM,0.02,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
LinearSVM,0.03,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
LinearSVM,0.04,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
LinearSVM,0.05,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
LinearSVM,0.060000000000000005,0.7697368421052632,0.5138888888888888,0.7682119205298014,1.0,0.8689138576779026
LinearSVM,0.06999999999999999,0.7763157894736842,0.5277777777777778,0.7733333333333333,1.0,0.8721804511278195
LinearSVM,0.08,0.7894736842105263,0.5555555555555556,0.7837837837837838,1.0,0.8787878787878788
LinearSVM,0.09,0.8026315789473685,0.5833333333333334,0.7945205479452054,1.0,0.8854961832061069
LinearSVM,0.09999999999999999,0.7960526315789473,0.5790229885057472,0.7931034482758621,0.9913793103448276,0.8812260536398467
LinearSVM,0.11,0.7960526315789473,0.5790229885057472,0.7931034482758621,0.9913793103448276,0.8812260536398467
LinearSVM,0.12,0.8092105263157895,0.6068007662835249,0.8041958041958042,0.9913793103448276,0.888030888030888
LinearSVM,0.13,0.8092105263157895,0.6163793103448276,0.8085106382978723,0.9827586206896551,0.8871595330739299
LinearSVM,0.14,0.8092105263157895,0.6163793103448276,0.8085106382978723,0.9827586206896551,0.8871595330739299
LinearSVM,0.15000000000000002,0.8092105263157895,0.6163793103448276,0.8085106382978723,0.9827586206896551,0.8871595330739299
LinearSVM,0.16,0.8092105263157895,0.6163793103448276,0.8085106382978723,0.9827586206896551,0.8871595330739299
LinearSVM,0.17,0.8157894736842105,0.6302681992337165,0.8142857142857143,0.9827586206896551,0.890625
LinearSVM,0.18000000000000002,0.8026315789473685,0.6216475095785441,0.8115942028985508,0.9655172413793104,0.8818897637795275
LinearSVM,0.19,0.8026315789473685,0.6216475095785441,0.8115942028985508,0.9655172413793104,0.8818897637795275
LinearSVM,0.2,0.8026315789473685,0.6216475095785441,0.8115942028985508,0.9655172413793104,0.8818897637795275
LinearSVM,0.21000000000000002,0.8026315789473685,0.6216475095785441,0.8115942028985508,0.9655172413793104,0.8818897637795275
LinearSVM,0.22,0.7960526315789473,0.6173371647509578,0.8102189781021898,0.9568965517241379,0.8774703557312253
LinearSVM,0.23,0.7960526315789473,0.6173371647509578,0.8102189781021898,0.9568965517241379,0.8774703557312253
LinearSVM,0.24000000000000002,0.7960526315789473,0.6173371647509578,0.8102189781021898,0.9568965517241379,0.8774703557312253
LinearSVM,0.25,0.7960526315789473,0.6173371647509578,0.8102189781021898,0.9568965517241379,0.8774703557312253
LinearSVM,0.26,0.7960526315789473,0.6173371647509578,0.8102189781021898,0.9568965517241379,0.8774703557312253
LinearSVM,0.27,0.7960526315789473,0.6173371647509578,0.8102189781021898,0.9568965517241379,0.8774703557312253
LinearSVM,0.28,0.7960526315789473,0.6173371647509578,0.8102189781021898,0.9568965517241379,0.8774703557312253
LinearSVM,0.29000000000000004,0.7960526315789473,0.6173371647509578,0.8102189781021898,0.9568965517241379,0.8774703557312253
LinearSVM,0.3,0.7960526315789473,0.6173371647509578,0.8102189781021898,0.9568965517241379,0.8774703557312253
LinearSVM,0.31,0.7894736842105263,0.6130268199233717,0.8088235294117647,0.9482758620689655,0.873015873015873
LinearSVM,0.32,0.7894736842105263,0.6130268199233717,0.8088235294117647,0.9482758620689655,0.873015873015873
LinearSVM,0.33,0.7894736842105263,0.6130268199233717,0.8088235294117647,0.9482758620689655,0.873015873015873
LinearSVM,0.34,0.7894736842105263,0.6130268199233717,0.8088235294117647,0.9482758620689655,0.873015873015873
LinearSVM,0.35000000000000003,0.7894736842105263,0.6130268199233717,0.8088235294117647,0.9482758620689655,0.873015873015873
LinearSVM,0.36000000000000004,0.7960526315789473,0.6269157088122606,0.8148148148148148,0.9482758620689655,0.8764940239043825
LinearSVM,0.37,0.7960526315789473,0.6269157088122606,0.8148148148148148,0.9482758620689655,0.8764940239043825
LinearSVM,0.38,0.7960526315789473,0.6269157088122606,0.8148148148148148,0.9482758620689655,0.8764940239043825
LinearSVM,0.39,0.7960526315789473,0.6269157088122606,0.8148148148148148,0.9482758620689655,0.8764940239043825
LinearSVM,0.4,0.7894736842105263,0.6226053639846744,0.8134328358208955,0.9396551724137931,0.872
LinearSVM,0.41000000000000003,0.7894736842105263,0.632183908045977,0.8181818181818182,0.9310344827586207,0.8709677419354839
LinearSVM,0.42000000000000004,0.7960526315789473,0.6460727969348659,0.8244274809160306,0.9310344827586207,0.8744939271255061
LinearSVM,0.43,0.8026315789473685,0.6695402298850575,0.8359375,0.9224137931034483,0.8770491803278688
LinearSVM,0.44,0.8092105263157895,0.6834291187739463,0.84251968503937,0.9224137931034483,0.8806584362139918
LinearSVM,0.45,0.7894736842105263,0.6704980842911877,0.8387096774193549,0.896551724137931,0.8666666666666667
LinearSVM,0.46,0.7828947368421053,0.6661877394636015,0.8373983739837398,0.8879310344827587,0.8619246861924686
LinearSVM,0.47000000000000003,0.7763157894736842,0.6618773946360152,0.8360655737704918,0.8793103448275862,0.8571428571428571
LinearSVM,0.48000000000000004,0.7697368421052632,0.6575670498084292,0.8347107438016529,0.8706896551724138,0.8523206751054853
